file_name,width,height,duration_sec,num_frames,sinal,interprete
Adição_AP_10.json,738,1008,4.533333333333333,136,Adição,Alexson
Adição_AP_1.json,774,1006,4.766666666666667,143,Adição,Alexson
Adição_AP_2.json,760,1002,4.433333333333334,133,Adição,Alexson
Adição_AP_3.json,762,1000,4.933333333333334,148,Adição,Alexson
Adição_AP_4.json,764,1004,4.6,138,Adição,Alexson
Adição_AP_5.json,762,1002,4.366666666666666,131,Adição,Alexson
Adição_AP_6.json,762,1014,5.233333333333333,157,Adição,Alexson
Adição_AP_7.json,772,998,4.933333333333334,148,Adição,Alexson
Adição_AP_8.json,774,1004,4.8,144,Adição,Alexson
Adição_AP_9.json,772,1008,5.833333333333333,175,Adição,Alexson
Aluno_AP_10.json,630,1004,4.666666666666667,140,Aluno,Alexson
Aluno_AP_11.json,638,1002,4.966666666666667,149,Aluno,Alexson
Aluno_AP_1.json,674,1010,5.233333333333333,157,Aluno,Alexson
Aluno_AP_2.json,634,1008,5.766666666666667,173,Aluno,Alexson
Aluno_AP_3.json,644,1010,4.9,147,Aluno,Alexson
Aluno_AP_4.json,620,1004,4.9,147,Aluno,Alexson
Aluno_AP_5.json,630,1004,4.933333333333334,148,Aluno,Alexson
Aluno_AP_6.json,628,1004,4.5,135,Aluno,Alexson
Aluno_AP_7.json,618,1008,4.666666666666667,140,Aluno,Alexson
Aluno_AP_8.json,616,1004,5.2,156,Aluno,Alexson
Aluno_AP_9.json,634,1006,4.666666666666667,140,Aluno,Alexson
Antropologia_AP_10.json,664,996,5.8,174,Antropologia,Alexson
Antropologia_AP_1.json,678,982,5.766666666666667,173,Antropologia,Alexson
Antropologia_AP_2.json,668,982,5.3,159,Antropologia,Alexson
Antropologia_AP_3.json,690,984,5.733333333333333,172,Antropologia,Alexson
Antropologia_AP_4.json,692,982,5.1,153,Antropologia,Alexson
Antropologia_AP_5.json,712,986,5.433333333333334,163,Antropologia,Alexson
Antropologia_AP_6.json,666,982,5.5,165,Antropologia,Alexson
Antropologia_AP_7.json,678,978,5.2,156,Antropologia,Alexson
Antropologia_AP_8.json,686,984,5.133333333333334,154,Antropologia,Alexson
Antropologia_AP_9.json,690,986,4.633333333333334,139,Antropologia,Alexson
Apontador_AP_10.json,842,1006,5.6,168,Apontador,Alexson
Apontador_AP_1.json,862,1004,5.666666666666667,170,Apontador,Alexson
Apontador_AP_2.json,840,996,4.933333333333334,148,Apontador,Alexson
Apontador_AP_3.json,836,984,5.733333333333333,172,Apontador,Alexson
Apontador_AP_4.json,846,990,5.9,177,Apontador,Alexson
Apontador_AP_5.json,832,982,5.3,159,Apontador,Alexson
Apontador_AP_6.json,844,988,5.7,171,Apontador,Alexson
Apontador_AP_7.json,834,986,5.766666666666667,173,Apontador,Alexson
Apontador_AP_8.json,836,984,5.566666666666666,167,Apontador,Alexson
Apontador_AP_9.json,856,998,6.3,189,Apontador,Alexson
Apostila_AP_10.json,670,1012,4.733333333333333,142,Apostila,Alexson
Apostila_AP_1.json,670,988,5.066666666666666,152,Apostila,Alexson
Apostila_AP_2.json,658,990,5.466666666666667,164,Apostila,Alexson
Apostila_AP_3.json,656,986,5.1,153,Apostila,Alexson
Apostila_AP_4.json,666,990,4.8,144,Apostila,Alexson
Apostila_AP_5.json,650,984,5.1,153,Apostila,Alexson
Apostila_AP_6.json,638,986,4.5,135,Apostila,Alexson
Apostila_AP_7.json,644,984,4.466666666666667,134,Apostila,Alexson
Apostila_AP_8.json,658,1004,4.866666666666666,146,Apostila,Alexson
Apostila_AP_9.json,640,986,5.066666666666666,152,Apostila,Alexson
Biologia_AP_10.json,768,1010,4.9,147,Biologia,Alexson
Biologia_AP_1.json,762,1022,4.6,138,Biologia,Alexson
